Class Name,Objects,Shallow Heap,
java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject,3093,74232,
kotlinx.coroutines.InvokeOnCompletion,2318,74176,
ai.grazie.rules.tree.NodePattern,2317,74144,
java.lang.invoke.LambdaForm$NamedFunction,3088,74112,
org.codehaus.groovy.reflection.GeneratedMetaMethod$Proxy,1318,73808,
java.lang.invoke.BoundMethodHandle$Species_LLL,1533,73584,
javax.swing.event.EventListenerList,4579,73264,
kotlinx.coroutines.ChildContinuation,2274,72768,
com.intellij.psi.util.CachedValuesManager$NonPhysicalPsiHandlerProvider,4508,72128,
groovyjarjarantlr4.v4.runtime.atn.EpsilonTransition,3000,72000,
com.intellij.openapi.editor.markup.AttributesFlyweight,1499,71952,
groovyjarjarantlr4.v4.runtime.atn.PredictionContext[],1739,71896,
com.intellij.util.indexing.impl.ValueContainerImpl,2973,71352,
com.intellij.util.indexing.impl.ValueContainerMap$$Lambda+0x000000a003a3e8f8,2973,71352,
ai.grazie.detector.utils.collections.array.ThreeOptimizedFloatArray,2229,71328,
com.fasterxml.jackson.databind.introspect.AnnotatedMethod,1758,70320,
com.intellij.psi.impl.source.tree.java.PsiKeywordImpl,1745,69800,
com.intellij.util.containers.ConcurrentSoftHashMap$SoftKey,1451,69648,
kotlin.reflect.jvm.internal.impl.name.FqName,2896,69504,
com.intellij.psi.impl.compiled.ClsJavaCodeReferenceElementImpl,1436,68928,
com.intellij.psi.impl.source.tree.java.PsiReferenceExpressionImpl,1075,68800,
java.util.regex.Pattern$Start,2856,68544,
kotlinx.coroutines.CoroutineName,2842,68208,
java.util.regex.Pattern$$Lambda+0x800000057,4253,68048,
com.intellij.serviceContainer.ServiceDescriptorInstanceInitializer,1671,66840,
java.util.regex.Pattern$$Lambda+0x80000005c,2781,66744,
org.jdom.Element,1654,66160,
com.intellij.util.FileIconKey,1652,66080,
java.util.regex.Pattern$CharPropertyGreedy,2746,65904,
com.intellij.psi.impl.source.tree.java.ModifierListElement,1169,65464,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation,1631,65240,
com.intellij.codeInspection.bytecodeAnalysis.HMember,2716,65184,
com.intellij.util.io.PagedFileStorage,1163,65128,
com.intellij.openapi.actionSystem.impl.ProxyShortcutSet,4061,64976,
ai.grazie.rules.tree.PatternHint$Disjunct,1616,64640,
java.util.concurrent.atomic.AtomicInteger,4024,64384,
com.intellij.platform.instanceContainer.internal.StaticInstanceHolder,2656,63744,
it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet,1326,63648,
com.fasterxml.aalto.in.PNameN,1583,63320,
com.intellij.util.text.ImmutableText$CompositeNode,2629,63096,
java.util.concurrent.CopyOnWriteArrayList,2612,62688,
com.intellij.platform.workspace.storage.impl.IdPerCount,2601,62424,
com.intellij.psi.impl.java.stubs.impl.PsiClassReferenceListStubImpl,1548,61920,
java.util.LinkedHashMap$LinkedEntrySet,2575,61800,
com.intellij.platform.util.coroutines.ChildScope,1931,61792,
com.intellij.openapi.actionSystem.impl.ActionToolbarImpl,128,61440,
java.lang.invoke.MethodHandleImpl$AsVarargsCollector,1279,61392,
com.intellij.util.ui.JBScalableIcon$1,2554,61296,
java.awt.Insets,1913,61216,
com.intellij.openapi.editor.markup.AttributesFlyweight$FlyweightKey,1520,60800,
kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$EntrySet,3787,60592,
java.security.ProtectionDomain[],2168,60304,
com.intellij.openapi.extensions.ExtensionPointDescriptor,2489,59736,
com.intellij.util.containers.ConcurrentWeakKeyWeakValueHashMap$WeakValue,1864,59648,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Class,412,59328,
com.intellij.openapi.editor.impl.IntervalTreeImpl$StaticSupplier,3705,59280,
org.languagetool.chunking.ChunkTag,2464,59136,
org.jetbrains.idea.maven.model.MavenArtifactInfo,1478,59120,
ai.grazie.rules.tree.NodeMatcher[],2261,57616,
com.intellij.util.CachedValueBase$PsiDependentData,2393,57432,
sun.reflect.annotation.AnnotationInvocationHandler,2373,56952,
org.jdom.Content[],1764,56464,
kotlinx.collections.immutable.implementations.immutableMap.TrieNode,1761,56352,
com.intellij.util.containers.LockFreeCopyOnWriteArrayList,3518,56288,
com.intellij.util.ui.JBInsets,1405,56200,
java.util.Collections$UnmodifiableCollection,3496,55936,
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket,2328,55872,
com.intellij.ui.components.panels.NonOpaquePanel,155,55800,
javax.swing.JLabel,139,55600,
com.intellij.util.containers.IntKeyWeakValueHashMap$MyReference,1736,55552,
java.nio.DirectByteBufferR,769,55368,
kotlinx.coroutines.debug.internal.DebugProbesImpl$CoroutineOwner,2297,55128,
com.intellij.platform.syntax.SyntaxElementType[],369,55104,
kotlinx.coroutines.flow.FlowKt__ChannelsKt$emitAllInternal$1,1369,54760,
com.intellij.psi.impl.source.PsiModifierListImpl,1711,54752,
java.awt.Rectangle,1705,54560,
java.util.ImmutableCollections$ListN,2268,54432,
kotlinx.coroutines.flow.SharedFlowImpl,746,53712,
java.lang.invoke.BoundMethodHandle$Species_LLLLL,957,53592,
com.intellij.util.containers.UnsafeWeakList$MyReference,1669,53408,
kotlin.reflect.jvm.internal.KMutableProperty1Impl,658,52640,
com.intellij.ui.components.JBViewport,131,52400,
com.intellij.ui.icons.RasterizedImageDataLoader,1635,52320,
