Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x780006098  roc.MonthNarrows,24,56,
java.lang.String @ 0x7800060d0  roc.narrow.AmPmMarkers,24,64,
java.lang.String @ 0x780006110  roc.QuarterAbbreviations,24,64,
java.lang.String @ 0x780006150  islamic.DateFormatItem.yyyyQQQQ,24,72,
java.lang.String @ 0x780006198  islamic.narrow.AmPmMarkers,24,72,
java.lang.String @ 0x7800061e0  islamic.QuarterNarrows,24,64,
java.lang.String @ 0x780006220  islamic.QuarterAbbreviations,24,72,
java.lang.String @ 0x780006268  islamic.DayNarrows,24,64,
java.lang.String @ 0x7800062a8  islamic.DateFormatItem.yyyy,24,72,
java.lang.String @ 0x7800062f0  islamic.DateFormatItem.yyyyM,24,72,
java.lang.String @ 0x780006338  islamic.DateFormatItem.yyyyQQQ,24,72,
java.lang.String @ 0x780006380  calendarname.gregory,24,64,
java.lang.String @ 0x7800063c0  calendarname.gregorian,24,64,
java.lang.String @ 0x780006400  Hijri Calendar (Umm al-Qura),24,72,
java.lang.String @ 0x780006448  calendarname.islamic-umalqura,24,72,
java.lang.String @ 0x780006490  Minguo Calendar,24,56,
java.lang.String @ 0x7800064c8  calendarname.roc,24,56,
java.lang.String @ 0x780006500  Japanese Calendar,24,64,
java.lang.String @ 0x780006540  calendarname.japanese,24,64,
java.lang.String @ 0x780006580  Buddhist Calendar,24,64,
java.lang.String @ 0x7800065c0  calendarname.buddhist,24,64,
java.lang.String @ 0x780006600  Hijri Calendar,24,56,
java.lang.String @ 0x780006638  calendarname.islamic,24,64,
"java.lang.String @ 0x780006678  Hijri Calendar (tabular, civil epoch)",24,80,
java.lang.String @ 0x7800066c8  calendarname.islamic-civil,24,72,
java.lang.String @ 0x780006710  {0} & {1},24,56,
"java.lang.String @ 0x780006748  {0}, & {1}",24,56,
java.lang.String @ 0x780006780  {one:000' 'trillion other:000' 'trillion},24,88,
java.lang.String @ 0x7800067d8  {one:00' 'trillion other:00' 'trillion},24,80,
java.lang.String @ 0x780006828  {one:0' 'trillion other:0' 'trillion},24,80,
java.lang.String @ 0x780006878  {one:000' 'billion other:000' 'billion},24,80,
java.lang.String @ 0x7800068c8  {one:00' 'billion other:00' 'billion},24,80,
java.lang.String @ 0x780006918  {one:0' 'billion other:0' 'billion},24,80,
java.lang.String @ 0x780006968  {one:000' 'million other:000' 'million},24,80,
java.lang.String @ 0x7800069b8  {one:00' 'million other:00' 'million},24,80,
java.lang.String @ 0x780006a08  {one:0' 'million other:0' 'million},24,80,
java.lang.String @ 0x780006a58  {one:000' 'thousand other:000' 'thousand},24,88,
java.lang.String @ 0x780006ab0  {one:00' 'thousand other:00' 'thousand},24,80,
java.lang.String @ 0x780006b00  {one:0' 'thousand other:0' 'thousand},24,80,
java.lang.String @ 0x780006b50  {one:000T other:000T},24,64,
java.lang.String @ 0x780006b90  {one:000B other:000B},24,64,
java.lang.String @ 0x780006bd0  {one:00B other:00B},24,64,
java.lang.String @ 0x780006c10  {one:0B other:0B},24,64,
java.lang.String @ 0x780006c50  {one:000M other:000M},24,64,
java.lang.String @ 0x780006c90  {one:00M other:00M},24,64,
java.lang.String @ 0x780006cd0  {one:0M other:0M},24,64,
java.lang.String @ 0x780006d10  {one:000K other:000K},24,64,
java.lang.String @ 0x780006d50  {one:00K other:00K},24,64,
java.lang.String @ 0x780006d90  {one:0K other:0K},24,64,
"java.lang.String @ 0x780006dd0  \uffa4#,##0.00",24,56,
java.lang.String @ 0x780007008  JMX connector server communication error,24,80,
java.lang.String @ 0x780007058  agent.err.connector.server.io.error,24,80,
java.lang.String @ 0x7800070a8  Config file not found,24,64,
java.lang.String @ 0x7800070e8  agent.err.configfile.notfound,24,72,
java.lang.String @ 0x780007130  Failed in reading the config file,24,80,
java.lang.String @ 0x780007180  agent.err.configfile.failed,24,72,
java.lang.String @ 0x7800071c8  Failed in closing the config file,24,80,
java.lang.String @ 0x780007218  agent.err.configfile.closed.failed,24,80,
java.lang.String @ 0x780007268  Access to the config file is denied,24,80,
java.lang.String @ 0x7800072b8  agent.err.configfile.access.denied,24,80,
