Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x7800301a0  Asia/Ashgabat,24,56,
java.lang.String @ 0x7800301f8  America/St_Barthelemy,24,64,
java.lang.String @ 0x780030258  America/Port-au-Prince,24,64,
java.lang.String @ 0x7800302b8  Europe/Belfast,24,56,
java.lang.String @ 0x780030310  Asia/Magadan,24,56,
java.lang.String @ 0x780030368  SystemV/PST8,24,56,
java.lang.String @ 0x7800303c0  Singapore,24,56,
java.lang.String @ 0x780030418  Asia/Qatar,24,56,
java.lang.String @ 0x780030470  Europe/Kiev,24,56,
java.lang.String @ 0x7800304c8  Canada/Eastern,24,56,
java.lang.String @ 0x780030520  Africa/Casablanca,24,64,
java.lang.String @ 0x780030580  America/Glace_Bay,24,64,
java.lang.String @ 0x7800305e0  Europe/Minsk,24,56,
java.lang.String @ 0x780030638  Pacific/Auckland,24,56,
java.lang.String @ 0x780030690  US/Eastern,24,56,
java.lang.String @ 0x7800306e8  Africa/Bujumbura,24,56,
java.lang.String @ 0x780030740  America/Santo_Domingo,24,64,
java.lang.String @ 0x7800307a0  Australia/South,24,56,
java.lang.String @ 0x7800307f8  Canada/Central,24,56,
java.lang.String @ 0x780030850  America/Edmonton,24,56,
java.lang.String @ 0x7800308a8  Europe/Podgorica,24,56,
java.lang.String @ 0x780030900  SystemV/EST5,24,56,
java.lang.String @ 0x780030958  Africa/Kampala,24,56,
java.lang.String @ 0x7800309b0  Asia/Krasnoyarsk,24,56,
java.lang.String @ 0x780030a08  Greenwich,24,56,
java.lang.String @ 0x780030a60  America/Resolute,24,56,
java.lang.String @ 0x780030ab8  Pacific/Kanton,24,56,
java.lang.String @ 0x780030b10  Pacific/Tarawa,24,56,
java.lang.String @ 0x780030b68  Europe/Kirov,24,56,
java.lang.String @ 0x780030bc0  Pacific/Norfolk,24,56,
java.lang.String @ 0x780030c18  America/Adak,24,56,
java.lang.String @ 0x780030c70  Africa/Lome,24,56,
java.lang.String @ 0x780030cc8  America/Bogota,24,56,
java.lang.String @ 0x780030d20  America/Menominee,24,64,
java.lang.String @ 0x780030d80  America/Thule,24,56,
java.lang.String @ 0x780030dd8  America/Danmarkshavn,24,64,
java.lang.String @ 0x780030e38  America/Detroit,24,56,
java.lang.String @ 0x780030e90  Africa/Blantyre,24,56,
java.lang.String @ 0x780030ee8  America/Rio_Branco,24,64,
java.lang.String @ 0x780030f48  America/Lower_Princes,24,64,
java.lang.String @ 0x780030fa8  America/Vancouver,24,64,
java.lang.String @ 0x780031008  Europe/Volgograd,24,56,
java.lang.String @ 0x780031060  US/Aleutian,24,56,
java.lang.String @ 0x7800310b8  Asia/Urumqi,24,56,
java.lang.String @ 0x780031110  Australia/Brisbane,24,64,
java.lang.String @ 0x780031170  Indian/Mayotte,24,56,
java.lang.String @ 0x7800311c8  US/Indiana-Starke,24,64,
java.lang.String @ 0x780031228  Indian/Antananarivo,24,64,
java.lang.String @ 0x780031288  Asia/Colombo,24,56,
java.lang.String @ 0x7800312e0  Australia/West,24,56,
java.lang.String @ 0x780031338  America/Cambridge_Bay,24,64,
java.lang.String @ 0x780031398  Canada/Mountain,24,56,
java.lang.String @ 0x7800313f0  America/Santa_Isabel,24,64,
java.lang.String @ 0x780031450  America/Montserrat,24,64,
java.lang.String @ 0x7800314b0  Asia/Brunei,24,56,
java.lang.String @ 0x780031508  America/Bahia_Banderas,24,64,
java.lang.String @ 0x780031560  /Users/sameervhatkar/.m2/repository/org/springframework/boot/spring-boot-starter/3.5.16/spring-boot-starter-3.5.16.jar,24,160,
java.lang.String @ 0x780031848  (Ljava/lang/Object;Ljava/lang/Object;)I,24,80,
java.lang.String @ 0x7800318b0  (Ljava/lang/Class;)Ljava/lang/Object;,24,80,
java.lang.String @ 0x780031930  (Ljava/lang/StackWalker$StackFrame;)Z,24,80,
java.lang.String @ 0x780031998  (Ljava/lang/Class;)Z,24,64,
java.lang.String @ 0x7800319f0  (Ljava/lang/Object;Ljava/lang/Throwable;)V,24,88,
java.lang.String @ 0x780032e00  America/St_Lucia,24,56,
java.lang.String @ 0x780032e58  Europe/Madrid,24,56,
java.lang.String @ 0x780032eb0  America/Lima,24,56,
java.lang.String @ 0x780032f08  Australia/LHI,24,56,
java.lang.String @ 0x780032f60  Australia/Sydney,24,56,
java.lang.String @ 0x780032fb8  Africa/Kinshasa,24,56,
java.lang.String @ 0x780033010  Asia/Kathmandu,24,56,
java.lang.String @ 0x780033068  Asia/Seoul,24,56,
java.lang.String @ 0x7800330c0  Africa/Maseru,24,56,
java.lang.String @ 0x780033118  Pacific/Kosrae,24,56,
java.lang.String @ 0x780033170  America/Cancun,24,56,
java.lang.String @ 0x7800331c8  America/Hermosillo,24,64,
java.lang.String @ 0x780033228  Etc/GMT0,24,48,
java.lang.String @ 0x780033278  US/East-Indiana,24,56,
java.lang.String @ 0x7800332d0  America/Fortaleza,24,64,
java.lang.String @ 0x780033330  Asia/Bahrain,24,56,
java.lang.String @ 0x780033388  Europe/Vilnius,24,56,
java.lang.String @ 0x7800333e0  Africa/Johannesburg,24,64,
java.lang.String @ 0x780033440  Africa/Khartoum,24,56,
java.lang.String @ 0x780033498  Turkey,24,48,
java.lang.String @ 0x7800334e8  Europe/Tallinn,24,56,
java.lang.String @ 0x780033540  America/Nome,24,56,
java.lang.String @ 0x780033598  Etc/GMT+11,24,56,
java.lang.String @ 0x7800335f0  Navajo,24,48,
java.lang.String @ 0x780033640  Africa/Harare,24,56,
java.lang.String @ 0x780033698  Etc/GMT+12,24,56,
java.lang.String @ 0x7800336f0  Asia/Kamchatka,24,56,
java.lang.String @ 0x780033748  Asia/Thimbu,24,56,
java.lang.String @ 0x7800337a0  America/Scoresbysund,24,64,
java.lang.String @ 0x780033800  Etc/GMT+10,24,56,
java.lang.String @ 0x780033858  America/Porto_Velho,24,64,
java.lang.String @ 0x7800338b8  Asia/Sakhalin,24,56,
java.lang.String @ 0x780033910  America/Tortola,24,56,
java.lang.String @ 0x780033968  Africa/Dakar,24,56,
java.lang.String @ 0x7800339c0  SystemV/CST6CDT,24,56,
java.lang.String @ 0x780033a18  America/Argentina/La_Rioja,24,72,
java.lang.String @ 0x780033a80  Iran,24,48,
java.lang.String @ 0x780033ad0  Africa/Lusaka,24,56,
java.lang.String @ 0x780033b28  Asia/Hong_Kong,24,56,
java.lang.String @ 0x780033b80  America/Pangnirtung,24,64,
java.lang.String @ 0x780033be0  America/Bahia,24,56,
java.lang.String @ 0x780033c38  America/Goose_Bay,24,64,
java.lang.String @ 0x780033c98  America/Virgin,24,56,
java.lang.String @ 0x780033cf0  Africa/Timbuktu,24,56,
java.lang.String @ 0x780033d48  America/Jujuy,24,56,
java.lang.String @ 0x780033da0  America/Ensenada,24,56,
java.lang.String @ 0x780033df8  Pacific/Midway,24,56,
java.lang.String @ 0x780033e50  Asia/Saigon,24,56,
java.lang.String @ 0x780033ea8  America/Belem,24,56,
java.lang.String @ 0x780033f00  Etc/Greenwich,24,56,
java.lang.String @ 0x780033f58  Africa/Juba,24,56,
java.lang.String @ 0x780033fb0  America/Campo_Grande,24,64,
java.lang.String @ 0x780034010  Europe/Astrakhan,24,56,
java.lang.String @ 0x780034068  WET,24,48,
java.lang.String @ 0x7800340b8  Asia/Tehran,24,56,
java.lang.String @ 0x780034110  Africa/Bissau,24,56,
java.lang.String @ 0x780034168  Europe/Belgrade,24,56,
java.lang.String @ 0x7800341c0  Jamaica,24,48,
java.lang.String @ 0x780034210  Africa/Bangui,24,56,
java.lang.String @ 0x780034268  Asia/Famagusta,24,56,
java.lang.String @ 0x7800342c0  Asia/Thimphu,24,56,
java.lang.String @ 0x780034318  Asia/Khandyga,24,56,
java.lang.String @ 0x780034370  Asia/Kuala_Lumpur,24,64,
java.lang.String @ 0x7800343d0  America/Grenada,24,56,
java.lang.String @ 0x780034428  Asia/Atyrau,24,56,
