Class Name,Shallow Heap,Retained Heap,
byte[5] @ 0x788810c38  argL4,24,24,
byte[5] @ 0x788810cc8  argL3,24,24,
byte[5] @ 0x788810d58  argL2,24,24,
byte[5] @ 0x788810de8  argL1,24,24,
byte[5] @ 0x788810e78  argL0,24,24,
byte[6] @ 0x7888110a8  LLLLLL,24,24,
byte[5] @ 0x788811210  argL5,24,24,
byte[5] @ 0x7888112a0  argL4,24,24,
byte[5] @ 0x788811330  argL3,24,24,
byte[5] @ 0x7888113c0  argL2,24,24,
byte[5] @ 0x788811450  argL1,24,24,
byte[5] @ 0x7888114e0  argL0,24,24,
byte[12] @ 0x788811cc8  /jdk.javadoc,32,32,
byte[16] @ 0x788811d00  jrt:/jdk.javadoc,32,32,
byte[18] @ 0x7888121b8  /jdk.security.auth,40,40,
byte[22] @ 0x7888121f8  jrt:/jdk.security.auth,40,40,
byte[4] @ 0x7888128c0  (J)J,24,24,
byte[59] @ 0x788812d10  (Ljava/lang/Object;JLjava/lang/Object;ILjava/lang/Object;)J,80,80,
byte[15] @ 0x788813038  invokeInterface,32,32,
byte[13] @ 0x788813278  invokeSpecial,32,32,
byte[13] @ 0x7888134d8  invokeVirtual,32,32,
byte[5] @ 0x788813558  argJ1,24,24,
byte[46] @ 0x788813750  java/lang/invoke/BoundMethodHandle$SpeciesData,64,64,
byte[48] @ 0x7888137a8  Ljava/lang/invoke/BoundMethodHandle$SpeciesData;,64,64,
byte[104] @ 0x788814168  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/invoke/MemberName;)I,120,120,
byte[15] @ 0x788814350  invokeInterface,32,32,
byte[75] @ 0x7888144d0  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)I,96,96,
byte[12] @ 0x7888146b8  isInstanceOf,32,32,
byte[57] @ 0x788814880  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)I,80,80,
byte[10] @ 0x788814a80  boxBoolean,32,32,
byte[19] @ 0x788814be8  /java.security.jgss,40,40,
byte[23] @ 0x788814c28  jrt:/java.security.jgss,40,40,
byte[16] @ 0x788814e80  /java.instrument,32,32,
byte[20] @ 0x788814eb8  jrt:/java.instrument,40,40,
byte[8] @ 0x788815270  /jdk.net,24,24,
byte[12] @ 0x7888152a0  jrt:/jdk.net,32,32,
byte[15] @ 0x7888155c0  /jdk.naming.dns,32,32,
byte[19] @ 0x7888155f8  jrt:/jdk.naming.dns,40,40,
byte[11] @ 0x788815ab0  /jdk.attach,32,32,
byte[15] @ 0x788815ae8  jrt:/jdk.attach,32,32,
byte[11] @ 0x788815df8  /jdk.jstatd,32,32,
byte[15] @ 0x788815e30  jrt:/jdk.jstatd,32,32,
byte[21] @ 0x788816250  /jdk.internal.jvmstat,40,40,
byte[25] @ 0x788816290  jrt:/jdk.internal.jvmstat,48,48,
byte[11] @ 0x788816838  /jdk.random,32,32,
byte[15] @ 0x788816870  jrt:/jdk.random,32,32,
byte[10] @ 0x788817060  reinvoke_L,32,32,
byte[41] @ 0x7888176c8  (Ljava/lang/Object;JLjava/lang/Object;I)J,64,64,
byte[20] @ 0x788817dd0  ()Ljava/lang/Object;,40,40,
byte[3] @ 0x7888180c0  ()V,24,24,
byte[21] @ 0x788818190  jrt:///jdk.localedata,40,40,
byte[6] @ 0x788818770  zero_L,24,24,
byte[10] @ 0x788818898  identity_L,32,32,
byte[10] @ 0x7888189b0  identity_L,32,32,
